,product_code,product_description,product_group,sales_date,price,sales_quantity,unit
0,1001,tomato,vegetable,2021-11-01,3.1210344827586214,36,kg
1,1001,tomato,vegetable,2021-11-02,3.1210344827586214,23,kg
2,1001,tomato,vegetable,2021-11-03,3.1210344827586214,34,kg
3,1001,tomato,vegetable,2021-11-04,3.1210344827586214,23,kg
4,1001,tomato,vegetable,2021-11-05,3.1210344827586214,34,kg
5,1001,tomato,vegetable,2021-11-06,3.1210344827586214,20,kg
6,1001,tomato,vegetable,2021-11-07,3.1210344827586214,21,kg
7,1001,tomato,vegetable,2021-11-08,3.1210344827586214,20,kg
8,1001,tomato,vegetable,2021-11-09,3.1210344827586214,31,kg
9,1001,tomato,vegetable,2021-11-10,3.1210344827586214,34,kg
10,1001,tomato,vegetable,2021-11-11,3.1210344827586214,20,kg
11,1001,tomato,vegetable,2021-11-12,3.1210344827586214,22,kg
12,1001,tomato,vegetable,2021-11-13,3.1210344827586214,26,kg
13,1001,tomato,vegetable,2021-11-14,3.1210344827586214,38,kg
14,1001,tomato,vegetable,2021-11-15,3.1210344827586214,38,kg
15,1001,tomato,vegetable,2021-11-16,3.1210344827586214,28,kg
16,1001,tomato,vegetable,2021-11-17,3.1210344827586214,29,kg
17,1001,tomato,vegetable,2021-11-18,3.1210344827586214,36,kg
18,1001,tomato,vegetable,2021-11-19,3.1210344827586214,37,kg
19,1001,tomato,vegetable,2021-11-20,3.1210344827586214,27,kg
20,1001,tomato,vegetable,2021-11-21,3.1210344827586214,22,kg
21,1001,tomato,vegetable,2021-11-22,3.1210344827586214,22,kg
22,1001,tomato,vegetable,2021-11-23,3.1210344827586214,30,kg
23,1001,tomato,vegetable,2021-11-24,3.1210344827586214,39,kg
24,1001,tomato,vegetable,2021-11-25,3.1210344827586214,25,kg
25,1001,tomato,vegetable,2021-11-26,3.1210344827586214,21,kg
26,1001,tomato,vegetable,2021-11-27,3.1210344827586214,38,kg
27,1001,tomato,vegetable,2021-11-28,3.1210344827586214,26,kg
28,1001,tomato,vegetable,2021-11-29,3.1210344827586214,24,kg
29,1001,tomato,vegetable,2021-11-30,3.1210344827586214,21,kg
30,1002,cucumber,vegetable,2021-11-01,4.532857142857142,22,kg
31,1002,cucumber,vegetable,2021-11-02,4.532857142857142,20,kg
32,1002,cucumber,vegetable,2021-11-03,4.532857142857142,37,kg
33,1002,cucumber,vegetable,2021-11-04,4.532857142857142,30,kg
34,1002,cucumber,vegetable,2021-11-05,4.532857142857142,24,kg
35,1002,cucumber,vegetable,2021-11-06,4.532857142857142,36,kg
36,1002,cucumber,vegetable,2021-11-07,4.532857142857142,20,kg
37,1002,cucumber,vegetable,2021-11-08,4.532857142857142,38,kg
38,1002,cucumber,vegetable,2021-11-09,4.532857142857142,25,kg
